,quarter,Profitability (Local),Profitability (Global),Liquidity (Local),Liquidity (Global),Solvency (Local),Solvency (Global),Adj. Leverage (Local),Adj. Leverage (Global),Rev Growth,Alert Summary,Overall Status
10,2022-Q1,0.8115942028985508,0.5245843677123297,0.1290471785383903,0.057051282051282,0.2340425531914893,0.3589743589743589,0.5463691026827012,0.5503402600558999,-45.0%,"Local Trend ↑ (Profitability), Global Low (Liquidity), Local Drop ↓ (Liquidity), Rev ↓",Weak
11,2021-Q4,0.7355072463768116,0.4534190927555857,0.1935707678075856,0.0985977564102564,0.2978723404255319,0.3743589743589743,0.540240518038853,0.4916818568477336,152.5%,"Global Low (Liquidity), Local Drop ↓ (Liquidity), Rev ↑",Weak
12,2021-Q3,0.8152173913043478,0.6176784773941172,0.9787234042553192,0.9948717948717948,0.276595744680851,0.3692307692307692,0.5187326549491211,0.4725300765585126,281.0%,"Local Trend ↑ (Profitability), Global High (Liquidity), Local Trend ↑ (Liquidity), Rev ↑",Improving
13,2021-Q2,0.4782608695652174,0.3038027533288197,0.1290471785383903,0.057051282051282,0.3191489361702128,0.3794871794871794,0.3769657724329325,0.3165208409284238,-78.4%,"Global Low (Liquidity), Local Drop ↓ (Liquidity), Rev ↓",Weak
14,2021-Q1,0.3442028985507246,0.2096930715414127,0.0215078630897317,0.0299078525641025,0.2127659574468084,0.3538461538461538,0.2042090656799259,0.2503827925628873,341.5%,"Global Low (Liquidity), Local Drop ↓ (Liquidity), Rev ↑",Weak
15,2020-Q3,0.3224637681159421,0.1986346197246671,0.5017345050878815,0.2688902243589743,0.2553191489361702,0.3641025641025641,0.2146160962072155,0.2507716611982015,-78.8%,"Global Low (Profitability), Rev ↓",Neutral
16,2020-Q1,0.1304347826086956,0.1345971563981042,0.0430157261794634,0.0363782051282051,0.4893617021276596,0.4974358974358974,0.3098982423681776,0.3079596548790861,373.3%,"Global Low (Profitability), Local Drop ↓ (Profitability), Global Low (Liquidity), Local Drop ↓ (Liquidity), Rev ↑",Critical
17,2019-Q2,0.3768115942028986,0.254927405401339,0.9572155411655874,0.9897035256410256,0.6170212765957447,0.5743589743589743,0.4987280296022202,0.4044780653785393,-80.8%,"Global High (Liquidity), Local Trend ↑ (Liquidity), Rev ↓",Improving
18,2019-Q1,0.5615942028985508,0.3079741217181975,0.9357076780758558,0.981971153846154,0.6808510638297872,0.5897435897435898,0.6393385753931544,0.445345728521084,-52.2%,"Global High (Liquidity), Local Trend ↑ (Liquidity), Rev ↓",Improving
19,2018-Q4,0.6739130434782609,0.3617768750470172,0.2367021276595744,0.1428084935897436,0.7234042553191489,0.6,0.7312673450508788,0.497867298578199,208.3%,"Global Low (Liquidity), Rev ↑",Neutral
20,2018-Q3,0.5833333333333334,0.3333182878206575,0.5514569842738205,0.5803886217948718,0.6595744680851063,0.5846153846153845,0.6884828862164662,0.4759569814072183,223.3%,Rev ↑,Neutral
21,2018-Q2,0.4492753623188406,0.2755059053637252,0.6741443108233117,0.8830128205128205,0.6382978723404256,0.5794871794871794,0.5582793709528215,0.4224450115445376,-79.9%,"Global High (Liquidity), Rev ↓",Neutral
22,2018-Q1,0.4710144927536232,0.2842435868502219,0.914199814986124,0.974238782051282,0.7021276595744681,0.5948717948717949,0.601063829787234,0.4348766557297363,-59.7%,"Global High (Liquidity), Local Trend ↑ (Liquidity), Rev ↓",Improving
23,2017-Q4,0.3369565217391304,0.2462799969908974,0.4069148936170212,0.5299879807692308,0.7659574468085106,0.6153846153846154,0.5405874190564293,0.4178818811520233,1137.9%,Rev ↑,Neutral
24,2017-Q3,0.4057971014492754,0.2652862408786579,0.5151480111008326,0.5819911858974359,0.7872340425531915,0.6230769230769231,0.5838344125809436,0.4288370397375137,11.8%,Rev ↑,Neutral
25,2017-Q2,0.5507246376811594,0.3127811630181298,0.6599213691026827,0.633613782051282,0.9574468085106383,0.7102564102564102,0.77763644773358,0.5056021387774942,-80.6%,"Local Trend ↑ (Solvency), Rev ↓",Neutral
26,2017-Q1,0.3115942028985507,0.2407507710825246,0.5364246068455134,0.587119391025641,0.9787234042553192,0.7333333333333334,0.6306660499537465,0.4733017377567141,-61.1%,"Local Trend ↑ (Solvency), Rev ↓",Neutral
27,2016-Q4,0.2572463768115942,0.2272812758594748,0.9565217391304348,0.9895833333333331,0.9361702127659576,0.6974358974358974,0.5985198889916744,0.4529833515615505,1257.4%,"Global High (Liquidity), Local Trend ↑ (Liquidity), Local Trend ↑ (Solvency), Rev ↑",Improving
28,2016-Q3,0.6159420289855072,0.4816670428044836,0.552382053654024,0.5909655448717949,0.8936170212765957,0.6692307692307693,0.6533302497687327,0.4578381334305505,-3.5%,"Local Trend ↑ (Solvency), Rev ↓",Neutral
29,2016-Q2,0.6014492753623188,0.3924095388550365,0.5736586493987049,0.59609375,0.8617021276595744,0.6538461538461539,0.6591119333950046,0.4572548304775793,-79.4%,"Local Trend ↑ (Solvency), Rev ↓",Neutral
30,2016-Q1,0.7355072463768115,0.4028285563830587,0.6714847363552267,0.64296875,0.8297872340425532,0.6461538461538461,0.7627197039777983,0.4901385344513306,526.4%,"Local Trend ↑ (Solvency), Rev ↑",Neutral
31,2015-Q4,0.7536231884057972,0.4486082900774844,0.6714847363552267,0.64296875,0.7446808510638299,0.6051282051282052,0.7092969472710453,0.4660712115688419,-69.8%,Rev ↓,Neutral
32,2015-Q3,0.7210144927536232,0.4390957646881817,0.3164893617021276,0.508193108974359,0.8617021276595744,0.6538461538461539,0.7297641073080481,0.477397010572366,-20.9%,"Local Trend ↑ (Solvency), Rev ↓",Neutral
33,2015-Q2,0.7173913043478262,0.4225080869630632,0.4344357076780758,0.5521834935897436,0.9148936170212766,0.6794871794871795,0.7835337650323775,0.4985113622554381,3.7%,"Local Trend ↑ (Solvency), Rev ↑",Neutral
34,2015-Q1,0.6702898550724637,0.4019371097570149,0.5482192414431082,0.5989983974358974,0.8085106382978724,0.6384615384615384,0.7031683626271971,0.4697047028800583,303.9%,"Local Trend ↑ (Solvency), Rev ↑",Neutral
35,2014-Q4,0.605072463768116,0.3726623034679907,0.7683857539315448,0.7169070512820512,0.5319148936170213,0.5333333333333333,0.5322617946345976,0.4100315955766193,-77.5%,Rev ↓,Neutral
36,2014-Q3,0.5833333333333334,0.3529150680809449,0.8007631822386678,0.7402644230769231,0.5531914893617021,0.5384615384615384,0.542900092506938,0.4125956981407218,-4.9%,"Local Trend ↑ (Liquidity), Rev ↓",Neutral
37,2014-Q2,0.463768115942029,0.2951816745655608,0.5694958371877892,0.6041266025641026,0.5957446808510638,0.5564102564102564,0.4717853839037927,0.3919492040345121,3.1%,Rev ↑,Neutral
38,2014-Q1,0.4021739130434782,0.2651207402392236,0.5216234967622572,0.5925881410256411,0.5106382978723405,0.5282051282051282,0.3748843663274745,0.363628630453275,254.7%,Rev ↑,Neutral
39,2013-Q4,0.3405797101449275,0.227172195892575,0.4078399629972248,0.5457732371794872,0.574468085106383,0.5487179487179488,0.3959296947271045,0.3632215336006805,-69.4%,Rev ↓,Neutral
40,2013-Q3,0.144927536231884,0.1282253817798841,0.5496068455134135,0.6265825320512821,0.4680851063829787,0.4871794871794872,0.3101295097132285,0.3052011179973265,-4.3%,"Global Low (Profitability), Local Drop ↓ (Profitability), Rev ↓",Weak
41,2013-Q2,0.0869565217391304,0.0933724516662905,0.5499537465309898,0.6396634615384615,0.4468085106382978,0.4615384615384615,0.2668825161887141,0.2781625956981407,-41.1%,"Global Low (Profitability), Local Drop ↓ (Profitability), Rev ↓",Weak
42,2013-Q1,0.0253623188405797,0.0688369818701572,0.3865633672525439,0.5406450320512821,0.4042553191489362,0.4358974358974359,0.2129972247918594,0.2511240733989549,77.8%,"Global Low (Profitability), Local Drop ↓ (Profitability), Rev ↑",Weak
43,2012-Q4,0.0652173913043478,0.0822839088241931,0.6885985198889917,0.6899839743589744,0.4255319148936169,0.4564102564102564,0.2453746530989824,0.2708591566411472,-4.3%,"Global Low (Profitability), Local Drop ↓ (Profitability), Rev ↓",Weak
44,2012-Q3,0.0398550724637681,0.0719965395320845,0.8492136910268271,0.7947516025641026,0.3617021276595744,0.4153846153846153,0.2025901942645698,0.2432373313889901,-15.3%,"Global Low (Profitability), Local Drop ↓ (Profitability), Local Trend ↑ (Liquidity), Rev ↓",Weak
45,2012-Q2,0.1159420289855072,0.1115888061385691,0.935013876040703,0.9818108974358974,0.3404255319148936,0.3948717948717949,0.2245605920444033,0.2519382671041439,15.7%,"Global Low (Profitability), Local Drop ↓ (Profitability), Global High (Liquidity), Local Trend ↑ (Liquidity), Rev ↑",Weak
46,2012-Q1,0.3840579710144927,0.2469532836831415,0.8277058279370952,0.7675681089743589,0.3829787234042553,0.4307692307692308,0.3490980573543015,0.325574188844331,,Local Trend ↑ (Liquidity),Neutral
